date,time_from,time_to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
09.10.2021,00:00,00:15,,,,
09.10.2021,00:15,00:30,,,,
09.10.2021,00:30,00:45,,,,
09.10.2021,00:45,01:00,,,,
09.10.2021,01:00,01:15,,,,
09.10.2021,01:15,01:30,,,,
09.10.2021,01:30,01:45,,,,
09.10.2021,01:45,02:00,,,,
09.10.2021,02:00,02:15,,,,
09.10.2021,02:15,02:30,,,,
09.10.2021,02:30,02:45,,,,
09.10.2021,02:45,03:00,,,,
09.10.2021,03:00,03:15,,,,
09.10.2021,03:15,03:30,,,,
09.10.2021,03:30,03:45,,,,
09.10.2021,03:45,04:00,,,,
09.10.2021,04:00,04:15,,,,
09.10.2021,04:15,04:30,,,,
09.10.2021,04:30,04:45,,,,
09.10.2021,04:45,05:00,,,,
09.10.2021,05:00,05:15,,,,
09.10.2021,05:15,05:30,,,,
09.10.2021,05:30,05:45,,,,
09.10.2021,05:45,06:00,,,,
09.10.2021,06:00,06:15,,,,
09.10.2021,06:15,06:30,,,,
09.10.2021,06:30,06:45,,,,
09.10.2021,06:45,07:00,,,,
09.10.2021,07:00,07:15,,,,
09.10.2021,07:15,07:30,,,,
09.10.2021,07:30,07:45,,,,
09.10.2021,07:45,08:00,,,,
09.10.2021,08:00,08:15,,,,
09.10.2021,08:15,08:30,,,,
09.10.2021,08:30,08:45,,,,
09.10.2021,08:45,09:00,,,,
09.10.2021,09:00,09:15,,,,
09.10.2021,09:15,09:30,,,,
09.10.2021,09:30,09:45,,,,
09.10.2021,09:45,10:00,,,,
09.10.2021,10:00,10:15,,,,
09.10.2021,10:15,10:30,,,,
09.10.2021,10:30,10:45,,,,
09.10.2021,10:45,11:00,,,,
09.10.2021,11:00,11:15,,,,
09.10.2021,11:15,11:30,,,,
09.10.2021,11:30,11:45,,,,
09.10.2021,11:45,12:00,,,,
09.10.2021,12:00,12:15,,,,
date,time_from,time_to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
09.10.2021,00:00,00:15,,,,
